Rainha Das Quedas - FM (89.1),Abelardo Luz / SC,Galvão / SC,São Domingos / SC,Ipuaçu / SC,Entre Rios / SC,Marema / SC,Xanxerê / SC,Bom Jesus / SC,Ouro Verde / SC,Passos Maia / SC,Vargeão / SC,Ponte Serrada / SC,Faxinal dos Guedes / SC,Xaxim / SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massa - FM (107.1),Chapecó / SC,Abelardo Luz / SC,Águas de Chapecó / SC,Águas Frias / SC,Alto Bela Vista / SC,Anchieta / SC,Arvoredo / SC,Bandeirante / SC,Barra Bonita / SC,Belmonte / SC,Bom Jesus do Oeste / SC,Caibi / SC,Campo Erê / SC,Caxambu do Sul / SC,Clevelândia / PRConcórdia / SC,Cordilheira Alta / SC,Coronel Freitas / SC,Coronel Martins / SC,Cunha Porã / SC,Cunhataí / SC,Descanso / SC,Entre Rios / SC,Faxinal dos Guedes / SC,Flor do Sertão / SC,Formosa do Sul / SC,Galvão / SC,Guaraciaba / SC,Guatambú / SC,Ipira / SC,Iporã do Oeste / SC,Ipuaçu / SC,Ipumirim / SC,Iraceminha / SC,Irani / SC,Irati / SC,Itá / SC,Jardinópolis / SC,Jupiá / SC,Lacerdópolis / SC,Lajeado Grande / SC,Lindóia do Sul / SC,Maravilha / SC,Marema / SC,Modelo / SC,Mondaí / SC,Nova Erechim / SC,Nova Itaberaba / SC,Ouro Verde / SC,Paial / SC,Palma Sola / SC,Palmitos / SC,Passos Maia / SC,Pinhalzinho / SC,Planalto Alegre / SC,Ponte Serrada / SC,Quilombo / SC,Riqueza / SC,Romelândia / SC,Saltinho / SC,Santiago do Sul / SC,São Bernardino / SC,São Carlos / SC,São Domingos / SC,São José do Cedro / SC,São Lourenço do Oeste / SC,São Miguel da Boa Vista / SC,São Miguel do Oeste / SC,Saudades / SC,Seara / SC,Serra Alta / SC,Sul Brasil / SC,Tigrinhos / SC,Vargeão / SC,Xanxerê / SC,Xavantina / SC,Xaxim / SC
Atlântida - FM (99.3),Chapecó / SC,Abelardo Luz / SC,Águas de Chapecó / SC,Águas Frias / SC,Arvoredo / SC,Bom Jesus / SC,Caibi / SC,Caxambu do Sul / SC,Chapecó / SC,Concórdia / SC,Cordilheira Alta / SC,Coronel Freitas / SC,Cunha Porã / SC,Cunhataí / SC,Entre Rios / SC,Faxinal dos Guedes / SC,Formosa do Sul / SC,Guatambú / SC,Ipumirim / SC,Itá / SC,Jardinópolis / SC,Lajeado Grande / SC,Lindóia do Sul / SC,Marema / SC,Nova Erechim / SC,Nova Itaberaba / SC,Ouro Verde / SC,Palmitos / SC,Pinhalzinho / SC,Planalto Alegre / SC,Ponte Serrada / SC,Quilombo / SC,São Carlos / SC,São Domingos / SC,Saudades / SC,Seara / SC,União do Oeste / SC,Vargeão / SC,Xanxerê / SC,Xavantina / SC,Xaxim / SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapecó - FM (100.1),Chapecó / SC,Arvoredo / SC,Xaxim / SC,Cordilheira Alta / SC,Coronel Freitas / SC,Erval Grande / RSGuatambú / SC,Nonoai / RSNova Itaberaba / SC,Paial / SC,Planalto Alegre / SC,Seara / SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oeste Capital - FM (93.3),Chapecó / SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Efapi - Comunitária (105.1),Chapecó / SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rede Clube - FM (104.5),Chapecó / SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Band (Coronel Freitas) - FM (94.7),Chapecó / SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND - FM (94.1),Chapecó / SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massa - FM (101.7),Concórdia / SC,Joaçaba / SC,Irani / SC,Jaborá / SC,Peritiba / SC,Presidente Castello Branco / SC,Arabutã / SC,Ipumirim / SC,Lindóia do Sul / SC,Seara / SC,Alto Bela Vista / SC,Ouro / SC,Catanduvas / SC,Água Doce / SC,Paial / SC,Itá / SC,Capinzal / SC,Piratuba / SC,Abdon Batista / SC,Vargem Bonita / SC,Chapecó / SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96 - FM (96.3),Concórdia / SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
